,n,exp_name,f1,comp_time
0,6,gradexp,0.03817803817803818,0.366816
1,6,gradexp,0.03726249769415237,0.349331
2,6,gradexp,0.03815223489807368,0.35195
3,6,gradexp,0.03744326777609682,0.366779
4,6,gradexp,0.037155188590729964,0.337225
5,6,gradexp,0.03852756055693305,0.374591
6,6,gradexp,0.038228614685844056,0.345024
7,6,gradexp,0.03742126713597628,0.33463
8,6,gradexp,0.035830618892508145,0.372782
9,6,gradexp,0.037588388537402304,0.341405
10,6,gradexp,0.03884234577303884,0.397713
11,6,gradexp,0.039162987137646384,0.334423
12,6,gradexp,0.03884234577303884,0.345083
13,6,gradexp,0.03771471247199403,0.334133
14,6,gradexp,0.03723008190618019,0.352812
15,6,gradexp,0.03777148253068932,0.338142
16,6,gradexp,0.03818980332251289,0.343788
17,6,gradexp,0.037984204588191045,0.337768
18,6,gradexp,0.038127595318988294,0.374559
19,6,gradexp,0.0395272234063166,0.326542
20,6,gradexp,0.03821169277799006,0.333353
21,6,gradexp,0.03919285991462941,0.325856
22,6,gradexp,0.038268264398917666,0.331249
23,6,gradexp,0.03919285991462941,0.343458
24,6,gradexp,0.03896103896103896,0.343356
25,6,gradexp,0.03780135004821601,0.386205
26,6,gradexp,0.03818980332251289,0.347211
27,6,gradexp,0.03936703975299113,0.352247
28,6,gradexp,0.03738317757009346,0.383146
29,6,gradexp,0.03934426229508197,0.405114
30,6,gradexp,0.03955021326095386,0.397873
31,6,gradexp,0.03807303807303807,0.397129
32,6,gradexp,0.037728730428221086,0.358655
33,6,gradexp,0.038662284941040015,0.365119
34,6,gradexp,0.0383602858217375,0.370809
35,6,gradexp,0.03741496598639456,0.385566
36,6,gradexp,0.03735144312393888,0.375836
37,6,gradexp,0.038130841121495326,0.385918
38,6,gradexp,0.03644477500929714,0.381429
39,6,gradexp,0.0389763779527559,0.378646
40,6,gradexp,0.038923869490555235,0.365583
41,6,gradexp,0.03854875283446712,0.380714
42,6,gradexp,0.03707742639040349,0.351894
43,6,gradexp,0.037608123354644606,0.355913
44,6,gradexp,0.03957322987390882,0.354604
45,6,gradexp,0.03722130090289294,0.361893
46,6,gradexp,0.03877903628335574,0.372151
47,6,gradexp,0.03708559655366174,0.375334
48,6,gradexp,0.038613081166272656,0.385221
49,6,gradexp,0.038966049382716056,0.369229
50,6,gradexp,0.0371273204575286,0.386826
51,6,gradexp,0.04095004095004095,0.367759
52,6,gradexp,0.03817522427944264,0.376229
53,6,gradexp,0.038117019249094726,0.354873
54,6,gradexp,0.03819709702062644,0.396774
55,6,gradexp,0.0386676875957121,0.393749
56,6,gradexp,0.03774289985052316,0.401314
57,6,gradexp,0.03912270302311796,0.369953
58,6,gradexp,0.03808812546676624,0.383795
59,6,gradexp,0.038570618264322176,0.344551
60,6,gradexp,0.037685572896840505,0.37341
61,6,gradexp,0.03836562440053711,0.345729
62,6,gradexp,0.03686464345559486,0.358723
63,6,gradexp,0.034853540971449756,0.382449
64,6,gradexp,0.03616438356164383,0.366942
65,6,gradexp,0.03728560775540641,0.373469
66,6,gradexp,0.037567416775153434,0.364287
67,6,gradexp,0.03943553063986082,0.375945
68,6,gradexp,0.03827018752391887,0.360953
69,6,gradexp,0.03639705882352941,0.371079
70,6,gradexp,0.040008001600320066,0.369962
71,6,gradexp,0.03933136676499509,0.363716
72,6,gradexp,0.037560431387132755,0.360573
73,6,gradexp,0.036304229442730075,0.359699
74,6,gradexp,0.03809883062995095,0.368898
75,6,gradexp,0.03621068032187272,0.389214
76,6,gradexp,0.03779877709838799,0.370613
77,6,gradexp,0.03915547024952015,0.397009
78,6,gradexp,0.03892100192678227,0.369771
79,6,gradexp,0.03775722106852935,0.386001
80,6,gradexp,0.03743618831537152,0.354085
81,6,gradexp,0.03781512605042017,0.354353
82,6,gradexp,0.036737692872887584,0.3493
83,6,gradexp,0.038454288407163056,0.372563
84,6,gradexp,0.03728560775540641,0.370045
85,6,gradexp,0.03741114852225963,0.426504
86,6,gradexp,0.0392461628132893,0.426068
87,6,gradexp,0.03775680177679067,0.389536
88,6,gradexp,0.03849855630413859,0.378606
89,6,gradexp,0.03740415186085656,0.366468
90,6,gradexp,0.03736263736263736,0.35442
91,6,gradexp,0.0386676875957121,0.373743
92,6,gradexp,0.036908459711310064,0.3534
93,6,gradexp,0.03723701359150996,0.366295
94,6,gradexp,0.03865832859579306,0.394997
95,6,gradexp,0.037840845854201444,0.363142
96,6,gradexp,0.037200736648250465,0.380801
97,6,gradexp,0.038259564891222814,0.364394
98,6,gradexp,0.03714340417384645,0.400544
99,6,gradexp,0.039565554693560906,0.353859
100,6,gradexp,0.037002076647158766,0.433182
101,6,gradexp,0.03703017959637104,0.36789
102,6,gradexp,0.03675400291120815,0.358162
103,6,gradexp,0.03849818944158567,0.349886
104,6,gradexp,0.039416633819471816,0.363684
105,6,gradexp,0.03880540232071524,0.347897
106,6,gradexp,0.03727171077152441,0.361937
107,6,gradexp,0.03695572630808635,0.357548
108,6,gradexp,0.03777078318829846,0.359947
109,6,gradexp,0.03830683777054204,0.336349
110,6,gradexp,0.03798196815653175,0.360546
111,6,gradexp,0.039414634146341464,0.354091
112,6,gradexp,0.03714020427112349,0.343655
113,6,gradexp,0.036005939123979216,0.344515
